Encode Order, Type, POC, QP, Bits, Scenecut, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8
0, I-SLICE,0,23.04,1188320,0,25.087,41.068,41.179,42.505,41.261,0.942309,12.389,2,  -, -,0.00%,0.00%,0.00%,4.06%,10.96%,11.12%,6.40%,8.62%,21.17%,2.58%,0.95%,17.20%,16.94%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1, I-SLICE,1,23.03,1185904,0,25.087,41.079,41.176,42.562,41.276,0.942197,12.38,1,  -, -,0.00%,0.00%,0.00%,4.43%,11.43%,11.21%,6.28%,8.34%,20.43%,2.51%,1.11%,16.20%,18.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2, I-SLICE,2,22.98,1186840,0,25.087,41.103,41.203,42.572,41.299,0.942065,12.371,0,  -, -,0.00%,0.00%,0.00%,4.22%,12.07%,11.88%,6.98%,8.47%,20.31%,2.53%,0.76%,16.50%,16.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version,,,,,,
 --input Beauty.yuv -f 3 --input-res 1920x1080 --fps 120 --log-level 2 --csv logBeautyIvP.csv --csv-log-level 1 --qpfile qp3.txt --ssim --psnr -o Beauty3.mp4, Tue May  5 09:58:20 2020,4.99,0.6,142442.57,41.083,41.186,42.546,41.279,0.94219,12.38,3,23.02,142442.56,41.083,41.186,42.546,12.38, -, -, -, -, -, -, -, -, -, -, -, -, -, -,214,67,2.6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encode Order, Type, POC, QP, Bits, Scenecut, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8
0, I-SLICE,0,23.04,1188320,0,25.087,41.068,41.179,42.505,41.261,0.942309,12.389,2,  -, -,0.00%,0.00%,0.00%,4.06%,10.96%,11.12%,6.40%,8.62%,21.17%,2.58%,0.95%,17.20%,16.94%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1, P-SLICE,1,23.01,874680,0,28,40.157,40.22,41.813,40.372,0.928268,11.443,1,0, -,0.00%,0.00%,0.00%,0.04%,0.29%,0.20%,0.21%,0.58%,1.15%,0.99%,0.76%,6.67%,0.00%,0.59%,8.38%,26.08%,48.69%,0.00%,0.03%,0.34%,1.18%,0.00%,0.10%,0.83%,2.88%
2, P-SLICE,2,22.97,826480,0,28,40.209,40.263,41.842,40.42,0.928359,11.448,0, 1 0 , -,0.00%,0.00%,0.00%,0.01%,0.03%,0.07%,0.12%,0.24%,1.11%,0.70%,0.51%,6.38%,0.00%,0.58%,7.38%,26.17%,52.78%,0.00%,0.03%,0.31%,0.97%,0.00%,0.07%,0.64%,1.89%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command, Date/Time, Elapsed Time, FPS, Bitrate, Y PSNR, U PSNR, V PSNR, Global PSNR, SSIM, SSIM (dB), I count, I ave-QP, I kbps, I-PSNR Y, I-PSNR U, I-PSNR V, I-SSIM (dB), P count, P ave-QP, P kbps, P-PSNR Y, P-PSNR U, P-PSNR V, P-SSIM (dB), B count, B ave-QP, B kbps, B-PSNR Y, B-PSNR U, B-PSNR V, B-SSIM (dB), MaxCLL, MaxFALL, Version,,,,,,
 --input Beauty.yuv -f 3 --input-res 1920x1080 --fps 120 --log-level 2 --csv logBeautyIvP.csv --csv-log-level 1 --qpfile qp3.txt --ssim --psnr -o Beauty3.mp4, Tue May  5 09:56:58 2020,6.19,0.49,115579.21,40.478,40.554,42.053,40.684,0.932979,11.738,1,23.04,142598.4,41.068,41.179,42.505,12.389,2,22.99,102069.6,40.183,40.242,41.828,11.446, -, -, -, -, -, -, -,214,67,2.6,,,,,,
